division,subtype,report_year,count_cleared,count_,clearance_rate,unsolved_crime
D12,Auto Theft,2022,1,21,0,20
D12,Auto Theft,2022,10,67,0,57
D12,Auto Theft,2022,0,13,0,13
D12,Auto Theft,2022,9,30,0,21
D12,Auto Theft,2022,3,46,0,43
D12,Auto Theft,2022,2,40,0,38
D12,Auto Theft,2022,0,3,0,3
D12,Auto Theft,2022,5,44,0,39
D12,Auto Theft,2022,6,63,0,57
D12,Auto Theft,2022,0,36,0,36
D12,Auto Theft,2022,13,94,0,81
D12,Auto Theft,2022,1,16,0,15
D12,Break & Enter-Apartment,2022,2,3,0,1
D55,Assault,2021,64,106,0,42
D11,Theft Over $5000,2022,0,6,0,6
D55,Assault,2021,46,86,0,40
NSA,Other,2021,0,1,0,1
D11,Break & Enter-Other,2022,1,3,0,2
D11,Theft Over $5000,2022,0,5,0,5
D55,Assault,2021,30,44,0,14
D11,Theft Over $5000,2022,3,12,0,9
NSA,Other,2021,1,1,1,0
D11,Break & Enter-Other,2022,0,1,0,1
D55,Assault,2021,47,74,0,27
D11,Theft Over $5000,2022,1,5,0,4
NSA,Other,2021,150,185,0,35
D11,Fraud,2022,9,46,0,37
D55,Assault,2021,17,29,0,12
D11,Theft Over $5000,2022,0,1,0,1
NSA,Other,2021,1,1,1,0
D11,Fraud,2022,7,66,0,59
D55,Attempt Murder,2021,9,12,0,3
D11,Theft Over $5000,2022,0,1,0,1
NSA,Other Criminal Violations - Offensive Weapons,2021,39,40,0,1
D11,Fraud,2022,7,75,0,68
D55,Attempt Murder,2021,2,2,1,0
D11,Theft Over $5000,2022,0,1,0,1
NSA,Other,2021,1,1,1,0
D11,Fraud,2022,10,70,0,60
D55,Attempt Murder,2021,1,1,1,0
D11,Theft Over $5000,2022,1,1,1,0
D11,Theft Over $5000,2022,1,8,0,7
D11,Theft Over $5000,2022,0,1,0,1
D11,Theft Over $5000,2022,0,3,0,3
D11,Theft Under $5000,2022,81,443,0,362
D11,Theft Under $5000,2022,98,552,0,454
D11,Theft Under $5000,2022,34,152,0,118
D11,Theft Under $5000,2022,123,624,0,501
D11,Theft Under $5000,2022,66,330,0,264
D11,Theft Under $5000,2022,2,42,0,40
D11,Theft Under $5000,2022,3,31,0,28
D11,Theft Under $5000,2022,1,3,0,2
D11,Theft Under $5000,2022,16,44,0,28
D11,Theft Under $5000,2022,72,476,0,404
D11,Theft Under $5000,2022,57,295,0,238
D11,Theft Under $5000,2022,1,23,0,22
D11,Theft Under $5000,2022,5,34,0,29
D11,Assault,2022,31,52,0,21
D11,Assault,2022,77,121,0,44
D11,Assault,2022,53,88,0,35
D11,Assault,2022,54,77,0,23
D11,Assault,2022,63,103,0,40
D11,Assault,2022,35,44,0,9
D11,Assault,2022,23,30,0,7
D11,Assault,2022,3,4,0,1
D11,Assault,2022,1,3,0,2
D11,Assault,2022,69,91,0,22
D11,Assault,2022,23,37,0,14
D11,Assault,2022,10,21,0,11
D11,Assault,2022,47,73,0,26
D11,Attempt Murder,2022,0,1,0,1
D11,Other,2022,15,19,0,4
D11,Other,2022,13,22,0,9
NSA,Other,2021,1,8,0,7
D11,Fraud,2022,5,57,0,52
D55,Other,2021,4,11,0,7
D11,Other,2022,3,3,1,0
D11,Fraud,2022,3,21,0,18
D55,Other,2021,13,17,0,4
D11,Other,2022,2,2,1,0
D11,Fraud,2022,1,11,0,10
D55,Other,2021,6,16,0,10
D11,Other,2022,2,3,0,1
D11,Fraud,2022,0,1,0,1
D55,Other,2021,4,11,0,7
D11,Other,2022,2,3,0,1
D55,Other,2021,21,41,0,20
D11,Other,2022,1,1,1,0
D55,Other,2021,12,20,0,8
D11,Fraud,2022,0,9,0,9
D11,Other,2022,2,2,1,0
D55,Other,2021,11,18,0,7
D11,Fraud,2022,7,67,0,60
D11,Other,2022,7,7,1,0
D55,Other,2021,0,1,0,1
D11,Fraud,2022,3,27,0,24
D11,Other,2022,1,1,1,0
D55,Other,2021,2,5,0,3
D11,Fraud,2022,0,4,0,4
D11,Other,2022,1,1,1,0
D55,Other,2021,19,28,0,9
D11,Fraud,2022,3,18,0,15
D11,Auto Theft,2022,2,5,0,3
D55,Other,2021,10,18,0,8
D11,Other,2022,1,2,0,1
D11,Auto Theft,2022,4,38,0,34
D55,Other,2021,4,6,0,2
D11,Other,2022,17,58,0,41
D11,Auto Theft,2022,6,77,0,71
D55,Other,2021,11,31,0,20
D11,Other,2022,40,121,0,81
D11,Auto Theft,2022,6,31,0,25
D55,Other,2021,15,28,0,13
D11,Other,2022,30,105,0,75
D11,Auto Theft,2022,7,38,0,31
D55,Other,2021,5,18,0,13
D11,Other,2022,23,81,0,58
D11,Auto Theft,2022,6,26,0,20
D55,Other,2021,6,15,0,9
D11,Auto Theft,2022,1,11,0,10
D55,Other,2021,3,10,0,7
D55,Other,2021,3,6,0,3
D11,Auto Theft,2022,4,22,0,18
D55,Robbery-Financial,2021,1,1,1,0
D11,Auto Theft,2022,4,29,0,25
D55,Robbery-Financial,2021,1,1,1,0
D11,Auto Theft,2022,0,5,0,5
D55,Robbery-Financial,2021,0,1,0,1
D11,Auto Theft,2022,3,13,0,10
D55,Robbery-Other,2021,2,2,1,0
D11,Break & Enter-Apartment,2022,3,4,0,1
D55,Robbery-Other,2021,10,11,0,1
D11,Break & Enter-Apartment,2022,8,20,0,12
D11,Break & Enter-Apartment,2022,5,12,0,7
D55,Robbery-Other,2021,5,8,0,3
D11,Break & Enter-Apartment,2022,5,11,0,6
D55,Robbery-Other,2021,4,10,0,6
D11,Break & Enter-Apartment,2022,7,12,0,5
D55,Robbery-Other,2021,4,4,1,0
D55,Robbery-Other,2021,13,23,0,10
D55,Robbery-Other,2021,1,3,0,2
D55,Robbery-Other,2021,5,11,0,6
D55,Robbery-Other,2021,1,1,1,0
D12,Other,2022,62,68,0,6
D13,Break & Enter-Apartment,2022,1,5,0,4
D12,Other,2022,16,22,0,6
D13,Break & Enter-Apartment,2022,1,2,0,1
D12,Other,2022,8,12,0,4
D12,Other,2022,10,10,1,0
D13,Break & Enter-Apartment,2022,1,4,0,3
D12,Other,2022,16,18,0,2
D12,Other,2022,14,22,0,8
D13,Break & Enter-Apartment,2022,3,11,0,8
D12,Break & Enter-Apartment,2022,0,7,0,7
D12,Other,2022,33,38,0,5
D12,Other,2022,3,7,0,4
D13,Break & Enter-Apartment,2022,1,2,0,1
D13,Assault,2022,12,20,0,8
D12,Break & Enter-Apartment,2022,2,3,0,1
D12,Other,2022,24,31,0,7
D12,Fraud,2022,0,12,0,12
D12,Other,2022,7,12,0,5
D13,Break & Enter-Apartment,2022,5,13,0,8
D13,Other,2022,3,3,1,0
D13,Assault,2022,17,23,0,6
D12,Break & Enter-Apartment,2022,4,9,0,5
D12,Other,2022,0,2,0,2
D12,Other,2022,8,8,1,0
D12,Other,2022,12,42,0,30
D13,Break & Enter-Apartment,2022,1,6,0,5
D13,Other,2022,3,3,1,0
D13,Assault,2022,26,38,0,12
D12,Break & Enter-Apartment,2022,5,18,0,13
D12,Other,2022,19,19,1,0
D12,Other,2022,15,18,0,3
D12,Other,2022,21,83,0,62
D13,Break & Enter-Apartment,2022,0,1,0,1
D13,Other,2022,4,4,1,0
D13,Assault,2022,16,18,0,2
D12,Break & Enter-Apartment,2022,1,1,1,0
D12,Other,2022,51,62,0,11
D12,Other,2022,8,11,0,3
D12,Other,2022,2,19,0,17
D13,Break & Enter-Commercial,2022,2,10,0,8
D13,Break & Enter-Commercial,2022,0,1,0,1
D13,Break & Enter-Commercial,2022,0,2,0,2
D13,Break & Enter-Commercial,2022,3,12,0,9
D13,Break & Enter-Commercial,2022,0,2,0,2
D13,Break & Enter-Commercial,2022,0,4,0,4
D13,Break & Enter-Commercial,2022,1,3,0,2
D13,Break & Enter-Commercial,2022,6,6,1,0
D13,Break & Enter-Commercial,2022,0,1,0,1
D13,Break & Enter-Commercial,2022,2,9,0,7
D13,Break & Enter-Commercial,2022,2,17,0,15
D13,Break & Enter-Commercial,2022,5,13,0,8
D13,Break & Enter-House,2022,1,5,0,4
D13,Break & Enter-House,2022,0,2,0,2
D13,Break & Enter-House,2022,0,1,0,1
D13,Break & Enter-House,2022,1,3,0,2
D13,Break & Enter-House,2022,0,3,0,3
D13,Break & Enter-House,2022,0,4,0,4
D13,Break & Enter-House,2022,2,6,0,4
D13,Break & Enter-House,2022,0,14,0,14
D13,Break & Enter-House,2022,2,2,1,0
D13,Break & Enter-House,2022,1,1,1,0
D13,Break & Enter-House,2022,1,8,0,7
D13,Break & Enter-House,2022,1,3,0,2
D13,Break & Enter-House,2022,0,7,0,7
D13,Break & Enter-Other,2022,0,5,0,5
D13,Break & Enter-Other,2022,0,1,0,1
D13,Break & Enter-Other,2022,0,4,0,4
D13,Break & Enter-Other,2022,0,1,0,1
D13,Break & Enter-Other,2022,0,2,0,2
D13,Break & Enter-Other,2022,1,4,0,3
D13,Break & Enter-Other,2022,1,3,0,2
D13,Break & Enter-Other,2022,2,10,0,8
D13,Break & Enter-Other,2022,0,2,0,2
D13,Break & Enter-Other,2022,1,5,0,4
D13,Fraud,2022,3,49,0,46
D13,Fraud,2022,2,22,0,20
D13,Fraud,2022,2,13,0,11
D13,Fraud,2022,3,41,0,38
D13,Fraud,2022,2,15,0,13
D13,Fraud,2022,2,13,0,11
D13,Fraud,2022,2,33,0,31
D12,Other,2022,18,54,0,36
D13,Other,2022,2,2,1,0
D13,Assault,2022,1,3,0,2
D12,Other,2022,24,31,0,7
D12,Other,2022,17,25,0,8
D12,Break & Enter-Apartment,2022,5,12,0,7
D13,Assault,2022,95,145,0,50
D12,Other,2022,4,8,0,4
D13,Assault,2022,42,73,0,31
D13,Fraud,2022,5,45,0,40
D12,Break & Enter-Apartment,2022,3,5,0,2
D12,Other,2022,60,74,0,14
D13,Other,2022,1,1,1,0
D12,Other,2022,5,23,0,18
D12,Other,2022,30,46,0,16
D13,Assault,2022,36,64,0,28
D13,Fraud,2022,1,18,0,17
D12,Break & Enter-Apartment,2022,3,13,0,10
D12,Other,2022,11,15,0,4
D13,Other,2022,10,13,0,3
D12,Other,2022,26,72,0,46
D12,Other,2022,4,6,0,2
D13,Attempt Murder,2022,1,1,1,0
D13,Fraud,2022,0,4,0,4
D12,Break & Enter-Commercial,2022,0,6,0,6
D12,Other Criminal Violations - Offensive Weapons,2022,4,9,0,5
D13,Other,2022,1,2,0,1
D12,Other,2022,2,6,0,4
D12,Robbery-Financial,2022,1,1,1,0
D13,Attempt Murder,2022,1,4,0,3
D13,Fraud,2022,2,59,0,57
D13,Other,2022,3,3,1,0
D12,Break & Enter-Commercial,2022,2,11,0,9
D12,Other Criminal Violations - Offensive Weapons,2022,3,5,0,2
D13,Other,2022,1,1,1,0
D12,Break & Enter-Commercial,2022,7,12,0,5
D12,Other,2022,11,23,0,12
D12,Robbery-Financial,2022,1,1,1,0
D13,Attempt Murder,2022,1,1,1,0
D13,Fraud,2022,6,42,0,36
D12,Other Criminal Violations - Offensive Weapons,2022,6,8,0,2
D13,Other,2022,26,32,0,6
D12,Other,2022,20,88,0,68
D13,Attempt Murder,2022,1,1,1,0
D12,Break & Enter-Commercial,2022,4,10,0,6
D12,Robbery-Other,2022,0,1,0,1
D13,Fraud,2022,3,41,0,38
D12,Other Criminal Violations - Offensive Weapons,2022,4,6,0,2
D13,Other,2022,17,19,0,2
D12,Other,2022,23,60,0,37
D13,Other,2022,8,14,0,6
D12,Break & Enter-Commercial,2022,0,3,0,3
D12,Robbery-Other,2022,3,10,0,7
D13,Other,2022,0,1,0,1
D12,Other Criminal Violations - Offensive Weapons,2022,3,4,0,1
D13,Other,2022,16,16,1,0
D12,Other,2022,46,125,0,79
D13,Other,2022,6,10,0,4
D12,Robbery-Other,2022,1,12,0,11
D13,Other,2022,14,72,0,58
D12,Other Criminal Violations - Offensive Weapons,2022,8,13,0,5
D12,Break & Enter-Commercial,2022,0,4,0,4
D13,Other,2022,36,40,0,4
D12,Other,2022,8,16,0,8
D13,Other,2022,4,6,0,2
D12,Robbery-Other,2022,5,8,0,3
D13,Other,2022,7,35,0,28
D12,Other Criminal Violations - Offensive Weapons,2022,2,8,0,6
D13,Other,2022,5,6,0,1
D12,Break & Enter-Commercial,2022,1,3,0,2
D12,Theft Over $5000,2022,0,2,0,2
D13,Other,2022,7,13,0,6
D12,Robbery-Other,2022,1,4,0,3
D13,Other,2022,3,30,0,27
D12,Other Criminal Violations - Offensive Weapons,2022,16,17,0,1
D12,Other Criminal Violations - Offensive Weapons,2022,1,1,1,0
D12,Other,2022,1,2,0,1
D12,Other,2022,2,4,0,2
D12,Other,2022,1,1,1,0
D12,Other,2022,1,1,1,0
D12,Other,2022,2,2,1,0
D12,Other,2022,1,1,1,0
D13,Other,2022,1,2,0,1
D13,Other,2022,0,1,0,1
D13,Other,2022,1,1,1,0
D13,Other,2022,1,1,1,0
D13,Other,2022,1,2,0,1
D13,Other,2022,1,1,1,0
D13,Other,2022,3,4,0,1
D13,Other,2022,2,4,0,2
D13,Auto Theft,2022,4,54,0,50
D13,Auto Theft,2022,0,25,0,25
D13,Auto Theft,2022,2,9,0,7
D13,Auto Theft,2022,1,40,0,39
D13,Auto Theft,2022,2,31,0,29
D13,Auto Theft,2022,2,22,0,20
D13,Auto Theft,2022,3,41,0,38
D13,Auto Theft,2022,3,55,0,52
D13,Auto Theft,2022,1,8,0,7
D13,Auto Theft,2022,5,63,0,58
D13,Auto Theft,2022,3,34,0,31
D13,Auto Theft,2022,2,52,0,50
D13,Break & Enter-Apartment,2022,2,6,0,4
D13,Break & Enter-Apartment,2022,0,3,0,3
D13,Break & Enter-Apartment,2022,0,3,0,3
D13,Other,2022,4,5,0,1
D12,Theft Over $5000,2022,0,8,0,8
D13,Other,2022,3,7,0,4
D12,Robbery-Other,2022,5,5,1,0
D12,Break & Enter-Commercial,2022,10,15,0,5
D13,Other,2022,1,1,1,0
D12,Theft Over $5000,2022,0,1,0,1
D13,Other,2022,0,3,0,3
D12,Robbery-Other,2022,0,1,0,1
D12,Break & Enter-Commercial,2022,4,11,0,7
D13,Other,2022,58,67,0,9
D12,Theft Over $5000,2022,0,3,0,3
D13,Other,2022,2,4,0,2
D13,Other,2022,8,9,0,1
D13,Other,2022,5,6,0,1
D13,Other,2022,7,13,0,6
D13,Other,2022,14,18,0,4
D13,Other,2022,14,16,0,2
D13,Robbery-Other,2022,5,12,0,7
D13,Robbery-Other,2022,0,3,0,3
D13,Robbery-Other,2022,2,8,0,6
D13,Robbery-Other,2022,2,10,0,8
D13,Robbery-Other,2022,3,3,1,0
D13,Robbery-Other,2022,3,4,0,1
D13,Robbery-Other,2022,0,3,0,3
D13,Robbery-Other,2022,7,24,0,17
D13,Robbery-Other,2022,1,4,0,3
D13,Robbery-Other,2022,1,3,0,2
D13,Sexual Violation,2022,1,3,0,2
D13,Sexual Violation,2022,6,9,0,3
D13,Sexual Violation,2022,6,10,0,4
D13,Sexual Violation,2022,7,15,0,8
D13,Sexual Violation,2022,4,6,0,2
D13,Sexual Violation,2022,0,1,0,1
D13,Sexual Violation,2022,0,3,0,3
D13,Sexual Violation,2022,4,8,0,4
D13,Sexual Violation,2022,1,2,0,1
D13,Sexual Violation,2022,6,15,0,9
D13,Sexual Violation,2022,6,11,0,5
D13,Sexual Violation,2022,3,6,0,3
D13,Other,2022,7,9,0,2
D13,Other,2022,10,12,0,2
D13,Other,2022,4,5,0,1
D13,Other,2022,14,16,0,2
D12,Robbery-Other,2022,1,2,0,1
D12,Theft Over $5000,2022,3,5,0,2
D13,Other,2022,7,9,0,2
D12,Break & Enter-Commercial,2022,0,1,0,1
D12,Robbery-Other,2022,2,13,0,11
D12,Theft Over $5000,2022,2,3,0,1
D13,Other,2022,5,5,1,0
D12,Break & Enter-Commercial,2022,8,22,0,14
D12,Robbery-Other,2022,1,2,0,1
D12,Theft Over $5000,2022,1,11,0,10
D13,Other,2022,49,56,0,7
D12,Break & Enter-Commercial,2022,1,1,1,0
D12,Robbery-Other,2022,12,22,0,10
D12,Robbery-Other,2022,5,5,1,0
D12,Sexual Violation,2022,6,15,0,9
D12,Sexual Violation,2022,12,21,0,9
D12,Sexual Violation,2022,2,4,0,2
D12,Sexual Violation,2022,7,13,0,6
D12,Sexual Violation,2022,6,8,0,2
D12,Sexual Violation,2022,9,13,0,4
D12,Sexual Violation,2022,0,1,0,1
D12,Sexual Violation,2022,2,3,0,1
D12,Sexual Violation,2022,8,16,0,8
D12,Sexual Violation,2022,8,13,0,5
D12,Sexual Violation,2022,22,35,0,13
D12,Sexual Violation,2022,2,2,1,0
D12,Other,2022,10,12,0,2
D12,Other,2022,17,20,0,3
D12,Other,2022,1,1,1,0
D12,Other,2022,8,8,1,0
D12,Other,2022,12,12,1,0
D12,Other,2022,5,5,1,0
D12,Other,2022,9,9,1,0
D12,Other,2022,2,3,0,1
D12,Other,2022,18,19,0,1
D12,Other,2022,1,1,1,0
D12,Other,2022,10,12,0,2
